w [t],x1,x2,x3,x4,x5
4.60272948,1.996,1.98,-1.092,-1.196,-0.58
4.683087653,1.988,-0.004,-1.508,0.78,-1.58
5.098797369,1.924,1.364,-1.316,-1.82,-1.964
5.733227268,1.86,1.94,-0.892,0.476,0.012
5.80989806,1.828,0.66,-1.412,1.964,-0.42
5.856162612,1.892,-1.02,-0.66,-0.796,0.508
6.061513923,1.812,-0.996,-1.748,-1.484,1.932
6.064208547,1.804,1.868,-0.972,-1.236,0.532
6.289106033,1.756,1.692,-1.244,0.908,-1.836
6.49528567,1.748,0.236,-1.684,-1.796,0.468
7.173457256,1.652,1.78,-1.676,-1.556,1.452
7.201962068,1.956,1.628,0.004,-0.076,-0.22
7.302420099,1.644,1.316,-1.812,0.852,1.908
7.312446684,1.932,-0.276,-0.044,0.596,1.364
7.330080411,1.668,0.612,-0.772,-1.188,-0.076
7.449111599,1.604,-0.58,-1.004,0.668,0.156
7.450158755,1.612,1.532,-1.668,1.868,-1.916
7.656461347,1.564,-1.284,-1.428,-1.668,-1.308
7.679031876,1.972,-1.396,0.284,-1.804,1.892
7.78378526,1.548,1.564,-1.068,1.412,-1.572
7.816003029,1.54,0.124,-1.42,-1.38,0.292
8.013381238,1.676,-0.54,-0.5,0.684,0.052
8.105525789,1.5,1.092,-1.46,0.292,0.636
8.149000805,1.908,0.284,0.164,-0.86,-1.164
8.20416939,1.476,-1.532,-1.284,1.34,-0.06
8.28075057,1.852,-1.452,-0.004,-1.756,1.548
8.354593269,1.9,-0.1,0.212,-1.54,0.26
8.36107091,1.484,-1.556,-1.716,-1.812,-0.892
8.683316136,1.452,-1.236,-1.868,-0.556,0.556
8.689744122,1.62,0.228,-0.444,0.116,-1.82
8.703119533,1.532,-0.308,-0.628,-0.412,1.26
8.714925242,1.444,-1.628,-0.876,0.916,0.98
8.772130067,1.788,1.236,-0.052,0.956,-0.444
8.976570886,1.412,-1.004,-1.892,-0.156,-0.492
8.999458501,1.42,-0.964,-1.996,-0.844,-0.804
9.08194252,1.404,-0.82,-1.956,-1.676,-0.828
9.106987682,1.348,-0.692,-1.444,-1.244,0.628
9.112800629,1.34,-0.676,-1.172,1.956,0.66
9.18563665,1.388,-1.732,-1.948,1.564,-0.092
9.201870696,1.324,1.852,-1.236,-0.772,0.876
9.267342021,1.38,-0.716,-0.82,0.044,1.1
9.328610797,1.356,1.756,-0.868,0.412,1.468
9.497505306,1.284,-1.636,-1.124,1.948,-0.996
9.579643694,1.332,-0.14,-1.964,1.86,0.724
9.698230991,1.26,0.196,-1.06,-1.412,1.124
9.796057856,1.236,-1.26,-1.38,1.716,-1.46
9.809919593,1.244,-0.132,-1.492,0.012,0.7
10.08538764,1.188,0.876,-1.348,0.06,0.836
10.10098373,1.836,-1.364,0.652,-1.02,0.164
10.18542129,1.796,-1.852,0.476,-1.26,1.884
10.29056189,1.964,-1.684,1.268,0.772,0.604
10.2961257,1.876,0.916,0.892,1.796,1.092
10.33954265,1.172,1.708,-0.988,-0.98,-1.036
10.35147549,1.868,-0.548,0.876,-1.212,-0.164
10.40147115,1.516,1.204,-0.268,0.3,0.644
10.55827597,1.692,0.604,0.172,-1.636,0.412
10.63027978,1.22,-0.972,-0.724,1.044,0.852
10.70091326,1.116,-1.244,-1.596,-1.516,0.3
10.70683496,1.132,-0.956,-0.916,-1.492,-1.66
10.76311442,1.1,-1.3,-1.548,-0.596,-1.876
10.87782867,1.596,-0.252,-0.012,1.084,-1.332
10.8780738,1.94,0.852,1.34,1.492,0.668
10.89106949,1.7,0.404,0.316,1.644,-0.596
10.92462381,1.98,0.116,1.868,-0.756,0.268
10.99769623,1.108,-1.644,-0.852,-0.036,0.588
11.01034059,1.084,-1.332,-1.74,0.34,1.276
11.0819052,1.724,0.644,0.492,-1.092,1.596
11.11182718,1.028,1.924,-1.108,-1.844,1.004
11.22272603,1.076,1.516,-1.916,-1.828,-1.372
11.23254012,1.916,0.996,1.332,1.284,-0.844
11.24208767,1.948,-1.988,1.668,0.612,-0.692
11.46882347,1.036,-0.372,-1.908,-0.516,0.804
11.4750566,0.98,-1.268,-1.516,-0.308,1.492
11.61028863,1.844,0.3,1.132,-1.276,-0.764
11.77125998,1.66,1.572,0.468,1.844,-0.572
11.82855971,0.94,0.812,-0.956,0.02,-1.516
11.86448966,1.628,-0.292,0.372,0.124,-1.004
11.87152818,1.74,-1.58,0.828,-0.292,-0.508
11.88707068,0.956,-0.556,-1.828,-0.452,-1.62
12.119607,1.82,0.516,1.172,0.9,-1.252
12.20982931,0.884,-1.068,-0.932,1.028,0.316
12.22958963,0.868,0.7,-1.612,-1.476,-1.828
12.34554695,0.836,-1.548,-1.532,1.588,0.092
